location,date,total_cases,total_deaths,DeathPercentage
Canada,3/31/2020,8527,152,1.782573003
United States,3/31/2020,192301,5369,2.791977161
Canada,3/30/2020,7398,125,1.68964585
United States,3/30/2020,165987,4284,2.580925012
Canada,3/29/2020,6280,96,1.52866242
United States,3/29/2020,143912,3571,2.481377508
Canada,3/28/2020,5576,82,1.470588235
United States,3/28/2020,125013,2947,2.357354835
Canada,3/27/2020,4682,66,1.409653994
United States,3/27/2020,105383,2305,2.187259805
Canada,3/26/2020,4042,57,1.410192974
United States,3/26/2020,86693,1783,2.056682777
Canada,3/25/2020,3251,42,1.291910181
United States,3/25/2020,68837,1364,1.981492511
Canada,3/24/2020,2790,33,1.182795699
United States,3/24/2020,56755,1031,1.816580037
Canada,3/23/2020,2088,29,1.388888889
United States,3/23/2020,46136,788,1.707993758
Canada,3/22/2020,1469,22,1.497617427
United States,3/22/2020,34898,596,1.70783426
Canada,3/21/2020,1277,19,1.487862177
United States,3/21/2020,26025,475,1.825168108
Canada,3/20/2020,943,15,1.590668081
United States,3/20/2020,20030,372,1.857214179
Canada,3/19/2020,800,11,1.375
United States,3/19/2020,13663,266,1.946863793
Canada,3/18/2020,657,11,1.674277017
United States,3/18/2020,9169,194,2.115825063
Canada,3/17/2020,478,6,1.255230126
United States,3/17/2020,6512,134,2.057739558
Canada,3/16/2020,415,4,0.963855422
United States,3/16/2020,4679,97,2.073092541
Canada,3/15/2020,252,1,0.396825397
United States,3/15/2020,3212,70,2.179327522
Canada,3/14/2020,198,1,0.505050505
United States,3/14/2020,2978,58,1.94761585
Canada,3/13/2020,193,1,0.518134715
United States,3/13/2020,2219,51,2.298332582
Canada,3/12/2020,117,1,0.854700855
United States,3/12/2020,1586,43,2.711223203
Canada,3/11/2020,108,1,0.925925926
United States,3/11/2020,1147,33,2.877070619
Canada,3/10/2020,79,1,1.265822785
United States,3/10/2020,782,28,3.58056266
Canada,3/9/2020,77,1,1.298701299
United States,3/9/2020,594,22,3.703703704
Canada,3/8/2020,64,0,0
United States,3/8/2020,519,21,4.046242775
Canada,3/7/2020,54,0,0
United States,3/7/2020,403,17,4.218362283
Canada,3/6/2020,49,0,0
United States,3/6/2020,237,14,5.907172996
Canada,3/5/2020,37,0,0
United States,3/5/2020,184,12,6.52173913
Canada,3/4/2020,33,0,0
United States,3/4/2020,107,11,10.28037383
Canada,3/3/2020,30,0,0
United States,3/3/2020,74,7,9.459459459
Canada,3/2/2020,27,0,0
United States,3/2/2020,55,6,10.90909091
Canada,3/1/2020,24,0,0
United States,3/1/2020,32,1,3.125
Canada,2/29/2020,20,0,0
United States,2/29/2020,25,1,4
Canada,2/28/2020,14,0,0
United States,2/28/2020,17,0,0
Canada,2/27/2020,13,0,0
United States,2/27/2020,17,0,0
Canada,2/26/2020,11,0,0
United States,2/26/2020,16,0,0
Canada,2/25/2020,11,0,0
United States,2/25/2020,16,0,0
Canada,2/24/2020,10,0,0
United States,2/24/2020,16,0,0
Canada,2/23/2020,9,0,0
United States,2/23/2020,16,0,0
Canada,2/22/2020,9,0,0
United States,2/22/2020,16,0,0
Canada,2/21/2020,9,0,0
United States,2/21/2020,16,0,0
Canada,2/20/2020,8,0,0
United States,2/20/2020,14,0,0
Canada,2/19/2020,8,0,0
United States,2/19/2020,14,0,0
Canada,2/18/2020,8,0,0
United States,2/18/2020,14,0,0
Canada,2/17/2020,8,0,0
United States,2/17/2020,14,0,0
Canada,2/16/2020,7,0,0
United States,2/16/2020,14,0,0
Canada,2/15/2020,7,0,0
United States,2/15/2020,14,0,0
Canada,2/14/2020,7,0,0
United States,2/14/2020,14,0,0
Canada,2/13/2020,7,0,0
United States,2/13/2020,14,0,0
Canada,2/12/2020,7,0,0
United States,2/12/2020,13,0,0
Canada,2/11/2020,7,0,0
United States,2/11/2020,13,0,0
Canada,2/10/2020,7,0,0
United States,2/10/2020,12,0,0
Canada,2/9/2020,7,0,0
United States,2/9/2020,12,0,0
Canada,2/8/2020,7,0,0
United States,2/8/2020,12,0,0
Canada,2/7/2020,7,0,0
United States,2/7/2020,12,0,0
Canada,2/6/2020,5,0,0
United States,2/6/2020,12,0,0
Canada,2/5/2020,5,0,0
United States,2/5/2020,11,0,0
Canada,2/4/2020,4,0,0
United States,2/4/2020,11,0,0
Canada,2/3/2020,4,0,0
United States,2/3/2020,11,0,0
Canada,2/2/2020,4,0,0
United States,2/2/2020,8,0,0
Canada,2/1/2020,4,0,0
United States,2/1/2020,8,0,0
Canada,1/31/2020,4,0,0
United States,1/31/2020,8,0,0
Canada,1/30/2020,2,0,0
United States,1/30/2020,6,0,0
Canada,1/29/2020,2,0,0
United States,1/29/2020,6,0,0
Canada,1/28/2020,2,0,0
United States,1/28/2020,5,0,0
Canada,1/27/2020,1,0,0
United States,1/27/2020,5,0,0
Canada,1/26/2020,1,0,0
United States,1/26/2020,5,0,0
United States,1/25/2020,2,0,0
United States,1/24/2020,2,0,0
United States,1/23/2020,1,0,0
United States,1/22/2020,1,0,0
